keyword,intent,niche,url_count,total_sessions,avg_sessions,total_clicks,avg_ctr,potential,best_url,best_clicks
tom ford glasses for men,product-specific,Styling,1,34,34,4,11.76,25.99,gentedge.com/tom-ford-glasses-for-men/,4
antique bathroom mirror,product-specific,Home Decor,1,48,48,7,14.58,25.9,eraflavor.com/antique-bathroom-mirror/,7
teas for libido,general,Lifestyle,1,48,48,7,14.58,25.9,steepbean.com/teas-for-libido/,7
spa bedroom ideas,room-ideas,Home Decor,1,14,14,4,28.57,25.36,bohozora.com/spa-bedroom-ideas/,4
vegan gluten free soup recipes,food-recipe,Food/Recipe,1,23,23,4,17.39,25.22,eatveganly.com/vegan-gluten-free-soup-recipes/,4
healthy juice recipes,food-recipe,Food/Recipe,1,2,2,1,50,25.07,bakejoys.com/healthy-juice-recipes/,1
best bbq sauce for ribs,food-recipe,Food/Recipe,1,51,51,7,13.73,24.76,grillerhood.com/best-bbq-sauce-for-ribs/,7
kitchen island outlet ideas,product-specific,Kitchen,1,154,154,23,14.94,24.7,bohozora.com/kitchen-island-outlet-ideas/,23
honey spoons for tea,product-specific,Kitchen,1,114,114,13,11.4,24.69,roaffee.com/how-to-make-honey-spoons-for-tea/,13
bbq sprinkle shower ideas,wedding-event,Wedding/Craft,1,42,42,6,14.29,24.53,grillerhood.com/bbq-sprinkle-shower-ideas/,6
hairstyle ideas for shoulder length hair,hair-beauty,Hair/Beauty,1,30,30,2,6.67,24.5,hairflowy.com/hairstyle-ideas-for-shoulder-length-hair/,2
mediterranean diet taco recipes,food-recipe,Food/Recipe,1,16,16,3,18.75,24.25,tacoflair.com/mediterranean-diet-taco-recipes/,3
white hair color ideas,hair-beauty,Hair/Beauty,1,79,79,4,5.06,23.72,hairflowy.com/white-hair-color-ideas/,4
wooden balcony,product-specific,Garden/Outdoor,1,22,22,14,63.64,23.69,balcivo.com/wooden-balcony/,14
small business ideas,general,Lifestyle,1,9,9,2,22.22,23.35,vinainvesting.com/small-business-ideas/,2
moon themed cake,food-baking,Food/Recipe,1,17,17,3,17.65,23.28,cozyslice.com/moon-themed-cake/,3
farmhouse kids bedroom,room-ideas,Home Decor,1,25,25,15,60,23.2,kidlura.com/farmhouse-kids-bedroom/,15
bee birthday cake,food-baking,Food/Recipe,1,26,26,4,15.38,23.14,rosabake.com/bee-birthday-cake/,4
fake outdoor plants landscaping,product-specific,Garden/Outdoor,1,381,381,135,35.43,22.96,floramood.com/fake-outdoor-plants-landscaping/,135
best morning tea,general,Lifestyle,1,57,57,7,12.28,22.76,steepbean.com/best-morning-tea/,7
farmhouse kitchen sink ideas,product-specific,Kitchen,1,31,31,6,19.35,21.98,bohozora.com/farmhouse-kitchen-sink-ideas/,6
civil engineer cake design,food-baking,Food/Recipe,1,95,95,10,10.53,21.94,rosabake.com/civil-engineer-cake-design/,10
39 birthday ideas for men,general,Lifestyle,1,107,107,8,7.48,21.77,gentedge.com/39-birthday-ideas-for-men/,8
money making hacks,general,Lifestyle,1,3,3,1,33.33,21.09,vinainvesting.com/money-making-hacks/,1
quick and easy dinner recipes with smoked sausage,food-recipe,Food/Recipe,1,3,3,1,33.33,21.09,fastcooky.com/quick-and-easy-dinner-recipes-with-smoked-sausage/,1
low cal meal prep lunch ideas,food-recipe,Food/Recipe,1,3,3,1,33.33,21.09,fastlunchy.com/low-cal-meal-prep-lunch-ideas/,1
candle business ideas,general,Lifestyle,1,237,237,20,8.44,21.08,vinainvesting.com/candle-business-ideas/,20
lung tea recipe,food-recipe,Food/Recipe,1,20,20,3,15,20.84,roaffee.com/lung-tea-recipe/,3
recipes with alfredo sauce,food-recipe,Food/Recipe,1,20,20,3,15,20.84,saucybold.com/recipes-with-alfredo-sauce/,3
bbq island ideas diy,diy-craft,Garden/Outdoor,1,41,41,5,12.2,20.81,grillerhood.com/bbq-island-ideas-diy/,5
bathroom runner rug ideas,product-specific,Home Decor,1,122,122,44,36.07,20.6,elsiedecor.com/bathroom-runner-rug-ideas/,44
pokemon cake ideas,food-baking,Food/Recipe,1,65,65,7,10.77,20.59,rosabake.com/pokemon-cake-ideas/,7
romantic wedding cake,food-baking,Food/Recipe,1,31,31,4,12.9,20.41,cozyslice.com/romantic-wedding-cake/,4
much does it cost to replace a rear main seal,general,Other,1,61,61,4,6.56,20.19,autorepairlebanontn.com/how-much-does-it-cost-to-replace-a-rear-main-seal/,4
rainbow tattoo ideas,tattoo,Tattoo,1,19,19,2,10.53,19.61,tattooradar.com/rainbow-tattoo-ideas/,2
boho balcony ideas,room-ideas,Garden/Outdoor,1,8,8,6,75,19.56,balcivo.com/boho-balcony-ideas/,6
rose gold candle decor ideas,product-specific,Home Decor,1,2,2,3,150,19.56,lumelith.com/rose-gold-candle-decor-ideas/,3
vegan sweet potato recipes,food-recipe,Food/Recipe,1,12,12,2,16.67,19.52,eatveganly.com/vegan-sweet-potato-recipes/,2
ballerina birthday cake,food-baking,Food/Recipe,1,34,34,4,11.76,19.08,eraflavor.com/ballerina-birthday-cake/,4
mexican coffee bar ideas,room-ideas,Home Decor,1,23,23,3,13.04,18.91,brewnora.com/mexican-coffee-bar-ideas/,3
gardening cake,food-baking,Food/Recipe,1,116,116,10,8.62,18.74,rosabake.com/gardening-cake/,10
model cars building,diy-craft,Other,1,27,27,2,7.41,18.41,jordistireshop.com/model-cars-building/,2
small business freebies ideas,general,Lifestyle,1,4,4,1,25,18.36,vinainvesting.com/small-business-freebies-ideas/,1
healthy easy recipes,food-recipe,Food/Recipe,1,4,4,1,25,18.36,eatlina.com/healthy-easy-recipes/,1
lunch box cake ideas for boyfriend,food-baking,Food/Recipe,1,4,4,1,25,18.36,fastlunchy.com/lunch-box-cake-ideas-for-boyfriend/,1
easy dinner recipes not pasta,food-recipe,Food/Recipe,1,4,4,1,25,18.36,pastahug.com/easy-dinner-recipes-not-pasta/,1
disco party outfit ideas men,outfit-style,Styling,1,37,37,3,8.11,18.34,gentedge.com/disco-party-outfit-ideas-men/,3
things to sell for a small business,general,Lifestyle,1,543,543,34,6.26,18,vinainvesting.com/things-to-sell-for-a-small-business/,34
purple bohemian bedroom,room-ideas,Home Decor,1,8,8,2,25,18,bohozora.com/purple-bohemian-bedroom/,2
dextero tires review,general,Other,1,49,49,3,6.12,17.85,jordistireshop.com/dextero-tires-review/,3
wolf forearm tattoo for men,tattoo,Tattoo,1,22,22,2,9.09,17.72,gentedge.com/wolf-forearm-tattoo-for-men/,2
butterfly birthday cake,food-baking,Food/Recipe,1,14,14,2,14.29,17.66,doughora.com/butterfly-birthday-cake/,2
sunburst mirror wall decor ideas,product-specific,Home Decor,1,15,15,8,53.33,17.55,mirrorahome.com/sunburst-mirror-wall-decor-ideas/,8
office outfits women plus size workwear,outfit-style,Styling,1,19,19,8,42.11,17.49,hervoguelife.com/office-outfits-women-plus-size-workwear/,8
mermaid sheet cake,food-baking,Food/Recipe,1,52,52,5,9.62,17.43,rosabake.com/mermaid-sheet-cake/,5
mobile home bathroom ideas,room-ideas,Home Decor,1,16,16,3,18.75,17.41,bohozora.com/mobile-home-bathroom-ideas/,3
boys birthday gift ideas,product-specific,Other,1,8,8,4,50,17.39,lovorae.com/boys-birthday-gift-ideas/,4
hairstyles for frizzy hair,hair-beauty,Hair/Beauty,1,48,48,2,4.17,17.36,hairflowy.com/hairstyles-for-frizzy-hair/,2
bee smash cake,food-baking,Food/Recipe,1,112,112,9,8.04,17.35,cozyslice.com/bee-smash-cake/,9
aviation cake ideas,food-baking,Food/Recipe,1,39,39,4,10.26,17.27,eraflavor.com/aviation-cake-ideas/,4
liver detox juice recipes,food-recipe,Food/Recipe,1,67,67,6,8.96,17.26,goteamnames.com/liver-detox-juice-recipes/,6
door window covering ideas,product-specific,Home Decor,1,94,94,30,31.91,17.25,curtainza.com/door-window-covering-ideas/,30
gay tattoo ideas,tattoo,Tattoo,1,23,23,2,8.7,17.19,shadowlinetattoos.com/gay-tattoo-ideas/,2
bathroom chandelier over tub,product-specific,Home Decor,1,79,79,26,32.91,17.12,elsiedecor.com/bathroom-chandelier-over-tub/,26
fibroid tea recipe,general,Lifestyle,1,83,83,7,8.43,17.05,roaffee.com/fibroid-tea-recipe/,7
disco themed cake,food-baking,Food/Recipe,1,27,27,3,11.11,16.9,eraflavor.com/disco-themed-cake/,3
penguin cake ideas,food-baking,Food/Recipe,1,27,27,3,11.11,16.9,lunapastry.com/penguin-cake-ideas/,3
wall tv unit design,product-specific,Home Decor,1,15,15,2,13.33,16.87,cozyslice.com/wall-tv-unit-design/,2
first communion cake,food-baking,Food/Recipe,1,15,15,2,13.33,16.87,sugardawn.com/first-communion-cake/,2
dog fence ideas,product-specific,Garden/Outdoor,1,14,14,8,57.14,16.87,blossivio.com/dog-fence-ideas/,8
dining room molding,product-specific,Home Decor,1,13,13,7,53.85,16.87,dinezoa.com/dining-room-molding/,7
deck covers ideas patio shade,room-ideas,Garden/Outdoor,1,106,106,35,33.02,16.82,softlyoutdoor.com/deck-covers-ideas-patio-shade/,35
backyard pool privacy ideas,room-ideas,Garden/Outdoor,1,9,9,2,22.22,16.77,bohozora.com/backyard-pool-privacy-ideas/,2
viking tattoo,tattoo,Tattoo,1,24,24,2,8.33,16.67,tattooradar.com/viking-tattoo/,2
sconces living room tv,product-specific,Home Decor,1,66,66,22,33.33,16.64,roomblr.com/sconces-living-room-tv/,22
japanese sleeve tattoo ideas,tattoo,Tattoo,1,62,62,4,6.45,16.61,shadowlinetattoos.com/japanese-sleeve-tattoo-ideas/,4
hyundai elantra modified,general,Other,1,26,26,11,42.31,16.55,drivecruise.com/hyundai-elantra-modified/,11
black and white nursery,room-ideas,Home Decor,1,3,3,3,100,16.46,nursora.com/black-and-white-nursery/,3
coastal entryway,room-ideas,Home Decor,1,3,3,3,100,16.46,entryzo.com/coastal-entryway/,3
healthy dinner recipes for kids,food-recipe,Food/Recipe,1,5,5,1,20,16.36,wishflavor.com/healthy-dinner-recipes-for-kids/,1
low carb low calorie recipes dessert,food-baking,Food/Recipe,1,5,5,1,20,16.36,dessertcove.com/low-carb-low-calorie-recipes-dessert/,1
kitchen window treatments,product-specific,Home Decor,1,57,57,7,12.28,16.34,cozykitchenia.com/kitchen-window-treatments/,7
campervan storage ideas,room-ideas,Home Decor,1,30,30,12,40,16.3,nuvinhome.com/campervan-storage-ideas/,12
minimalist tattoo for men arm,tattoo,Tattoo,1,25,25,2,8,16.2,gentedge.com/minimalist-tattoo-for-men-arm/,2
vegan gluten free crockpot recipes,food-recipe,Food/Recipe,1,16,16,2,12.5,16.16,eatveganly.com/vegan-gluten-free-crockpot-recipes/,2
bedroom side table ideas,product-specific,Home Decor,1,17,17,8,47.06,16.15,minoradesign.com/bedroom-side-table-ideas/,8
shabby chic farmhouse living room,room-ideas,Home Decor,1,17,17,8,47.06,16.15,roomwaves.com/shabby-chic-farmhouse-living-room/,8
archangel michael tattoo for men,tattoo,Tattoo,1,44,44,3,6.82,16.14,gentedge.com/archangel-michael-tattoo-for-men/,3
robin hood gluten free flour recipes,food-recipe,Food/Recipe,1,29,29,3,10.34,16.05,storyriddles.com/robin-hood-gluten-free-flour-recipes/,3
tea party sweets,food-baking,Food/Recipe,1,108,108,8,7.41,15.87,brewnora.com/tea-party-sweets/,8
cookie packaging ideas,diy-craft,Wedding/Craft,1,143,143,10,6.99,15.86,eraflavor.com/cookie-packaging-ideas/,10
paw patrol cake ideas,food-baking,Food/Recipe,1,75,75,6,8,15.81,cozyslice.com/paw-patrol-cake-ideas/,6
capybara cake ideas,food-baking,Food/Recipe,1,44,44,4,9.09,15.79,eraflavor.com/capybara-cake-ideas/,4
wheel lug nut size chart,general,Other,1,58,58,3,5.17,15.72,jordistireshop.com/wheel-lug-nut-size-chart/,3
gingham cake,food-baking,Food/Recipe,1,30,30,3,10,15.67,eraflavor.com/gingham-cake/,3
gluten free egg free dairy free recipes,food-recipe,Food/Recipe,1,45,45,4,8.89,15.54,storyriddles.com/gluten-free-egg-free-dairy-free-recipes/,4
aip ground beef recipes autoimmune paleo,food-recipe,Food/Recipe,1,17,17,2,11.76,15.51,paleofeul.com/aip-ground-beef-recipes-autoimmune-paleo/,2
sugar free pudding pie recipes,food-baking,Food/Recipe,1,1312,1312,62,4.73,15.5,piejourney.com/sugar-free-pudding-pie-recipes/,62
backyard bbq graduation party ideas,wedding-event,Wedding/Craft,1,94,94,7,7.45,15.48,grillerhood.com/backyard-bbq-graduation-party-ideas/,7
steps lighting,product-specific,Home Decor,1,36,36,13,36.11,15.48,lampenza.com/steps-lighting/,13
bible verse tattoo,tattoo,Tattoo,1,27,27,2,7.41,15.35,tattooradar.com/bible-verse-tattoo/,2
coffee van ideas mobile cafe,room-ideas,Other,1,79,79,6,7.59,15.18,brewnora.com/coffee-van-ideas-mobile-cafe/,6
low glycemic dessert recipes,food-baking,Food/Recipe,1,47,47,4,8.51,15.04,doughora.com/low-glycemic-dessert-recipes/,4
air fryer fish recipes,food-recipe,Food/Recipe,1,6,6,1,16.67,14.81,flavory.work/air-fryer-fish-recipes/,1
graduation cake ideas simple,food-baking,Food/Recipe,1,6,6,1,16.67,14.81,sugardawn.com/graduation-cake-ideas-simple/,1
layered dessert recipes,food-baking,Food/Recipe,1,6,6,1,16.67,14.81,purechinataste.com/layered-dessert-recipes/,1
backyard privacy screen ideas,room-ideas,Garden/Outdoor,1,11,11,2,18.18,14.81,cozykitchenia.com/backyard-privacy-screen-ideas/,2
small business office ideas,room-ideas,Home Decor,1,6,6,1,16.67,14.81,vinainvesting.com/small-business-office-ideas/,1
paleo chicken soup recipes,food-recipe,Food/Recipe,1,6,6,1,16.67,14.81,paleofeul.com/paleo-chicken-soup-recipes/,1
tart cherry pie filling recipes,food-recipe,Food/Recipe,1,6,6,1,16.67,14.81,piejourney.com/tart-cherry-pie-filling-recipes/,1
healthy banana recipes,food-recipe,Food/Recipe,1,6,6,1,16.67,14.81,bakejoys.com/healthy-banana-recipes/,1
hot mexican dip recipes,food-recipe,Food/Recipe,1,6,6,1,16.67,14.81,mexifork.com/hot-mexican-dip-recipes/,1
half up half down bow hairstyle,hair-beauty,Hair/Beauty,1,23,23,1,4.35,14.79,shearyo.com/half-up-half-down-bow-hairstyle/,1
belt storage ideas,product-specific,Home Decor,1,16,16,7,43.75,14.71,nuvinhome.com/belt-storage-ideas/,7
outdoor bbq storage ideas,product-specific,Garden/Outdoor,1,33,33,3,9.09,14.63,grillerhood.com/outdoor-bbq-storage-ideas/,3
easter decorations vintage,product-specific,Home Decor,1,78,78,22,28.21,14.63,retrofyra.com/easter-decorations-vintage/,22
tea party sandwiches recipes,food-recipe,Food/Recipe,1,201,201,12,5.97,14.46,tealeafcup.com/tea-party-sandwiches-recipes/,12
towel storage ideas,product-specific,Home Decor,1,61,61,18,29.51,14.46,organizaspace.com/towel-storage-ideas/,18
rugs with brown leather couch,product-specific,Home Decor,1,61,61,18,29.51,14.46,rugsora.com/rugs-with-brown-leather-couch/,18
house wren bird,general,Other,1,14,14,1,7.14,14.42,avianenthusiast.com/house-wren-bird/,1
first rodeo smash cake,food-baking,Food/Recipe,1,19,19,2,10.53,14.4,rosabake.com/first-rodeo-smash-cake/,2
lucky leaf peach pie filling recipes,food-recipe,Food/Recipe,1,19,19,2,10.53,14.4,piejourney.com/lucky-leaf-peach-pie-filling-recipes/,2
mini muffin tin recipes brunch,food-recipe,Food/Recipe,1,19,19,2,10.53,14.4,muffinora.com/mini-muffin-tin-recipes-brunch/,2
small yard patio ideas,room-ideas,Garden/Outdoor,1,51,51,17,33.33,14.36,patizvo.com/small-yard-patio-ideas/,17
swing arm curtain rod ideas,product-specific,Home Decor,1,4,4,3,75,14.33,homedeza.com/swing-arm-curtain-rod-ideas/,3
linen pants outfit,outfit-style,Styling,1,139,139,29,20.86,14.29,stylingradar.com/linen-pants-outfit/,29
outfit ideas for plus size women,outfit-style,Styling,1,87,87,20,22.99,14.27,hervoguelife.com/outfit-ideas-for-plus-size-women/,20
dining room rugs,product-specific,Home Decor,1,28,28,10,35.71,14.27,rugsora.com/dining-room-rugs/,10
garden hose storage ideas,product-specific,Garden/Outdoor,1,64,64,20,31.25,14.22,slowgardenlife.com/garden-hose-storage-ideas/,20
wedding guest outfit indian,outfit-style,Styling,1,216,216,36,16.67,14.2,marryza.com/wedding-guest-outfit-indian/,36
money packing ideas for wedding,wedding-event,Wedding/Craft,1,138,138,25,18.12,14.15,eloralove.com/money-packing-ideas-for-wedding/,25
indoor plant wall ideas,room-ideas,Home Decor,1,6,6,4,66.67,14.14,verdinae.com/indoor-plant-wall-ideas/,4
nursery bookshelf ideas,product-specific,Home Decor,1,41,41,13,31.71,14.07,nursora.com/nursery-bookshelf-ideas/,13
tramp stamp meaning,tattoo,Tattoo,1,53,53,3,5.66,14.04,tattooradar.com/tramp-stamp-meaning/,3
low histamine dessert recipes,food-baking,Food/Recipe,1,209,209,12,5.74,14.01,toppuns.com/low-histamine-dessert-recipes/,12
memory journal ideas,general,Lifestyle,1,119,119,22,18.49,14.01,diyvera.com/memory-journal-ideas/,22
unique kitchen backsplash ideas,product-specific,Home Decor,1,12,12,2,16.67,14.01,stylekitcheny.com/unique-kitchen-backsplash-ideas/,2
vintage tiki,general,Other,1,347,347,70,20.17,14.01,retrofyra.com/vintage-tiki/,70
simple birthday cake for boys,food-baking,Food/Recipe,1,88,88,6,6.82,13.97,lunapastry.com/simple-birthday-cake-for-boys/,6
natural hair color ideas,hair-beauty,Hair/Beauty,1,25,25,1,4,13.94,hairflowy.com/natural-hair-color-ideas/,1
farmhouse bathroom sink ideas,product-specific,Home Decor,1,25,25,9,36,13.92,sleeprism.com/farmhouse-bathroom-sink-ideas/,9
small one bedroom apartment ideas,room-ideas,Home Decor,1,46,46,14,30.43,13.91,smallvia.com/small-one-bedroom-apartment-ideas/,14
ariel cake ideas,food-baking,Food/Recipe,1,20,20,2,10,13.9,lunapastry.com/ariel-cake-ideas/,2
leg of lamb marinade recipes,food-recipe,Food/Recipe,1,20,20,2,10,13.9,amazingteamnames.com/leg-of-lamb-marinade-recipes/,2
mango recipes healthy,food-recipe,Food/Recipe,1,20,20,2,10,13.9,flavorcocktail.com/mango-recipes-healthy/,2
faux plants for outdoor planters,product-specific,Garden/Outdoor,1,112,112,30,26.79,13.81,floramood.com/faux-plants-for-outdoor-planters/,30
horse bedroom ideas for teens,room-ideas,Home Decor,1,14,14,6,42.86,13.78,cornerlily.com/horse-bedroom-ideas-for-teens/,6
bedroom without bed frame,room-ideas,Home Decor,1,14,14,6,42.86,13.78,lylastudio.com/bedroom-without-bed-frame/,6
high tea hapjes,food-recipe,Food/Recipe,1,331,331,17,5.14,13.62,brewnora.com/high-tea-hapjes/,17
soft summer hair color ideas,hair-beauty,Hair/Beauty,1,26,26,1,3.85,13.57,hairflowy.com/soft-summer-hair-color-ideas/,1
healthy indian breakfast recipes,food-recipe,Food/Recipe,1,7,7,1,14.29,13.56,beanwhisper.com/healthy-indian-breakfast-recipes/,1
paleo ice cream recipes,food-recipe,Food/Recipe,1,7,7,1,14.29,13.56,paleofeul.com/paleo-ice-cream-recipes/,1
smoothie recipes with apple juice,food-recipe,Food/Recipe,1,7,7,1,14.29,13.56,blendvera.com/smoothie-recipes-with-apple-juice/,1
bathroom ceiling ideas,room-ideas,Home Decor,1,48,48,14,29.17,13.48,celenastudio.com/bathroom-ceiling-ideas/,14
fake window ideas,product-specific,Home Decor,1,303,303,60,19.8,13.44,curtainza.com/fake-window-ideas/,60
postpartum tea recipe,food-recipe,Food/Recipe,1,21,21,2,9.52,13.43,roaffee.com/postpartum-tea-recipe/,2
viking sleeve tattoo for men,tattoo,Tattoo,1,82,82,4,4.88,13.41,gentedge.com/viking-sleeve-tattoo-for-men/,4
semi formal party outfits for women,outfit-style,Styling,1,71,71,16,22.54,13.36,femshades.com/semi-formal-party-outfits-for-women/,16
bbq pergola ideas grill area,room-ideas,Garden/Outdoor,1,38,38,3,7.89,13.19,grillerhood.com/bbq-pergola-ideas-grill-area/,3
gray hair color ideas,hair-beauty,Hair/Beauty,1,27,27,1,3.7,13.19,shearyo.com/gray-hair-color-ideas/,1
cake for baby boy,food-baking,Food/Recipe,1,75,75,5,6.67,13.18,rosabake.com/cake-for-baby-boy/,5
soccer bedroom ideas,room-ideas,Home Decor,1,27,27,9,33.33,13.18,farmsteadra.com/soccer-bedroom-ideas/,9
guest living room ideas,room-ideas,Home Decor,1,4,4,3,75,13.16,lodgvia.com/guest-living-room-ideas/,3
dark rustic living room,room-ideas,Home Decor,1,2,2,2,100,13.04,rosiedecor.com/dark-rustic-living-room/,2
nature themed nursery,room-ideas,Home Decor,1,8,8,4,50,13.04,nursora.com/nature-themed-nursery/,4
ninja cake ideas boys,food-baking,Food/Recipe,1,22,22,2,9.09,13.01,eraflavor.com/ninja-cake-ideas-boys/,2
herbalife tea recipes with pomegranate liftoff,food-recipe,Food/Recipe,1,22,22,2,9.09,13.01,tealeafcup.com/herbalife-tea-recipes-with-pomegranate-liftoff/,2
living room plant wall,room-ideas,Home Decor,1,41,41,12,29.27,12.99,ivyrosedecor.com/living-room-plant-wall/,12
signs your brother in law is attracted,general,Lifestyle,1,44,44,2,4.55,12.91,spiritualwayfarer.com/signs-your-brother-in-law-is-attracted-to-you/,2
kitchen and living room combo colors,room-ideas,Home Decor,1,28,28,9,32.14,12.85,emmydecor.com/kitchen-and-living-room-combo-colors/,9
loaded tea recipes without herbalife,food-recipe,Food/Recipe,1,58,58,4,6.9,12.84,tealeafcup.com/loaded-tea-recipes-without-herbalife/,4
bariatric full liquid soup recipes,food-recipe,Food/Recipe,1,432,432,20,4.63,12.83,soupyday.com/bariatric-full-liquid-soup-recipes/,20
bombshell hair,hair-beauty,Hair/Beauty,1,3,3,2,66.67,12.81,lovermuse.com/bombshell-hair/,2
narrow window curtain ideas,product-specific,Home Decor,1,25,25,3,12,12.81,cozykitchenia.com/narrow-window-curtain-ideas/,3
best paint for concrete around pool,general,Other,1,82,82,20,24.39,12.79,homeypaint.com/best-paint-for-concrete-around-pool/,20
small mirror wall decor ideas,product-specific,Home Decor,1,5,5,3,60,12.76,mirrorahome.com/small-mirror-wall-decor-ideas/,3
wedding table layout,wedding-event,Wedding/Craft,1,4,4,2,50,12.74,celinestory.com/wedding-table-layout/,2
industrial farmhouse living room,room-ideas,Home Decor,1,24,24,8,33.33,12.73,roomblr.com/industrial-farmhouse-living-room/,8
exterior wall decor ideas metal,product-specific,Home Decor,1,24,24,8,33.33,12.73,metacraftera.com/exterior-wall-decor-ideas-metal/,8
moana cake design,food-baking,Food/Recipe,1,40,40,3,7.5,12.71,sugardawn.com/moana-cake-design/,3
easy smoothie recipes with frozen fruit protein shakes,food-recipe,Food/Recipe,1,40,40,3,7.5,12.71,blendvera.com/easy-smoothie-recipes-with-frozen-fruit-protein-shakes/,3
coral bedroom adults,room-ideas,Home Decor,1,12,12,5,41.67,12.69,roomwaves.com/coral-bedroom-adults/,5
basement room divider ideas,room-ideas,Home Decor,1,14,14,2,14.29,12.68,stylekitcheny.com/basement-room-divider-ideas/,2
sugar free dunkin drinks,general,Food/Recipe,1,79,79,5,6.33,12.66,broastee.com/sugar-free-dunkin-drinks/,5
french dinner recipes,food-recipe,Food/Recipe,1,23,23,2,8.7,12.62,easybreakfastly.com/french-dinner-recipes/,2
